RowType,Schedule,BaseRowId,Delivery Order,Name,Address,City,State,ZIP,Dozens,Subscribed,Notes,Newsletter,RunId,RouteDate,ScheduleId,RunStatus,RunBaseRowId,RunDeliveryOrder,RunEntryStatus,RunDozens,RunDonationStatus,RunDonationMethod,RunDonationAmount,RunTaxableAmount,RunCompletedAt,EventDate,TotalDonation,TotalDozens,TotalDeductibleContribution
RunEntry,Week A,CUST_A1,001,Alice Baker,101 N Main St,Canton,SD,57013,2,TRUE,Leave on front porch,1,runA-2025-01-01,Week A,WeekA,completed,CUST_A1,0,delivered,2,Donated,cash,8,0,2025-01-01T09:00:00Z,2025-01-01T09:00:00Z,,,
RunEntry,Week A,CUST_A2,002,Ben Carter,220 Oak St,Canton,SD,57013,1,TRUE,Dog in yard – latch gate,1,runA-2025-01-01,Week A,WeekA,completed,CUST_A2,1,delivered,1,NoDonation,,0,0,2025-01-01T09:00:00Z,2025-01-01T09:00:00Z,,,
RunEntry,Week A,CUST_A3,003,Cara Diaz,500 W 5th St,Canton,SD,57013,3,TRUE,Back door cooler,0,runA-2025-01-01,Week A,WeekA,completed,CUST_A3,2,skipped,0,NotRecorded,,0,0,2025-01-01T09:00:00Z,2025-01-01T09:00:00Z,,,
RunEntry,Week A,CUST_A1,001,Alice Baker,101 N Main St,Canton,SD,57013,2,TRUE,Leave on front porch,1,runA-2025-01-08,Week A,WeekA,completed,CUST_A1,0,delivered,2,Donated,paypal,10,2,2025-01-08T09:00:00Z,2025-01-08T09:00:00Z,,,
RunEntry,Week A,CUST_A2,002,Ben Carter,220 Oak St,Canton,SD,57013,1,TRUE,Dog in yard – latch gate,1,runA-2025-01-08,Week A,WeekA,completed,CUST_A2,1,skipped,0,NotRecorded,,0,0,2025-01-08T09:00:00Z,2025-01-08T09:00:00Z,,,
RunEntry,Week A,CUST_A3,003,Cara Diaz,500 W 5th St,Canton,SD,57013,3,TRUE,Back door cooler,0,runA-2025-01-08,Week A,WeekA,completed,CUST_A3,2,delivered,3,Donated,cash,12,0,2025-01-08T09:00:00Z,2025-01-08T09:00:00Z,,,
RunEntry,Week A,CUST_A1,001,Alice Baker,101 N Main St,Canton,SD,57013,2,TRUE,Leave on front porch,1,runA-2025-01-15,Week A,WeekA,completed,CUST_A1,0,skipped,0,NotRecorded,,0,0,2025-01-15T09:00:00Z,2025-01-15T09:00:00Z,,,
RunEntry,Week A,CUST_A2,002,Ben Carter,220 Oak St,Canton,SD,57013,1,TRUE,Dog in yard – latch gate,1,runA-2025-01-15,Week A,WeekA,completed,CUST_A2,1,delivered,1,Donated,venmo,5,1,2025-01-15T09:00:00Z,2025-01-15T09:00:00Z,,,
RunEntry,Week A,CUST_A3,003,Cara Diaz,500 W 5th St,Canton,SD,57013,3,TRUE,Back door cooler,0,runA-2025-01-15,Week A,WeekA,completed,CUST_A3,2,delivered,3,Donated,ach,18,6,2025-01-15T09:00:00Z,2025-01-15T09:00:00Z,,,
RunEntry,Week B,CUST_B1,001,Blake East,200 Elm St,Canton,SD,57013,2,TRUE,Prefers early morning delivery,1,runB-2025-02-01,Week B,WeekB,completed,CUST_B1,0,delivered,2,Donated,cash,8,0,2025-02-01T09:00:00Z,2025-02-01T09:00:00Z,,,
